DrugName,dosage,Form,lat,lon,signupId
Cetrizine,5mg/5,,13.6640309,79.500068,1
Chloramphenicol,1g/vial,,13.6640309,79.500068,1
Chlorpromazine,25,,13.6640309,79.500068,1
Cloxacillin,500,,13.6640309,79.500068,1
Dexamethazone,1m,,13.6640309,79.500068,1
Diazepam,5/vial,,13.6640309,79.500068,1
Diclofenac,100/3,,13.6640309,79.500068,1
Enhancin,375,,13.6640309,79.500068,1
Frusemide,10mg/ml,,13.6640309,79.500068,1
Furazolidone,100mg,,13.6640309,79.500068,1
Gacet,250mg,,13.6640309,79.500068,1
Gacet,125mg,,13.6640309,79.500068,1
Gentamycin,40/vial,,13.6640309,79.500068,1
Gentamycin,80/vial,,13.6640309,79.500068,1
Hyoscine,20,,13.6640309,79.500068,1
Ketoconazole,200,,13.6640309,79.500068,1
KY Jelly,,,13.6640309,79.500068,1
Levamsole,8,,13.6640309,79.500068,1
Levamsole,4mg/5,,13.6640309,79.500068,1
Lidocaine,0.01,,13.6640309,79.500068,1
Lidocaine,0.02,,13.6640309,79.500068,1
Lignocaine,0.02,,13.6640309,79.500068,1
Mebendazole,200,,13.6640309,79.500068,1
Metformin,5,,13.6640309,79.500068,1
Methylated Spirit,,,13.6640309,79.500068,1
Metoclopromide,10mg,,13.6640309,79.500068,1
Metronidazole,500mg/ml,,13.6640309,79.500068,1
Nifedipine,20,,13.6640309,79.500068,1
Paracetamol,150/vial,,13.6640309,79.500068,1
Penicillin Benzathine,2.4miu,,13.6640309,79.500068,1
Promethazine,25/ml,,13.6640309,79.500068,1
Propanolol,40mg,,13.6640309,79.500068,1
Quinine,200,,13.6640309,79.500068,1
Ranitidine,300,,13.6640309,79.500068,1
Ranitidine,50mg/2ml,,13.6640309,79.500068,1
Salbutamol,100/puff,,13.6640309,79.500068,1
Salbutamol,0.005,,13.6640309,79.500068,1
Silvadene,0.01,,13.6640309,79.500068,1
Theophyline/Ephedrine,150-12,,13.6640309,79.500068,1
Vitamin K,10/ml,,13.6640309,79.500068,1
Amoxycillin,500,Tab,13.6640309,79.500068,1
